InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,CustomerID,TotalRevenue
INV78069,2023-12-01,PROD006,Anti-Ageing Eye Cream,5,69.99,1046,349.95
INV91927,2023-11-27,PROD004,Hair Growth Oil,4,44.99,1019,179.96
INV67067,2023-09-17,PROD002,Moisturising Cream,3,34.99,1100,104.97
INV40692,2023-09-18,PROD009,Hyaluronic Toner,4,39.99,1054,159.96
INV53283,2023-06-19,PROD004,Hair Growth Oil,2,44.99,1150,89.98
INV11007,2023-10-21,PROD010,Collagen Supplement,2,49.99,1032,99.98
INV94853,2023-12-17,PROD004,Hair Growth Oil,1,44.99,1105,44.99
INV87436,2023-05-03,PROD008,Retinol Night Cream,1,54.99,1150,54.99
INV19287,2023-12-25,PROD001,Premium Face Serum,4,89.99,1005,359.96
INV64948,2023-11-16,PROD001,Premium Face Serum,2,89.99,1007,179.98
INV31992,2023-11-29,PROD005,Lip Treatment Set,4,24.99,1015,99.96
INV19869,2023-12-12,PROD002,Moisturising Cream,5,34.99,1025,174.95
INV85047,2023-12-15,PROD004,Hair Growth Oil,2,44.99,1047,89.98
INV43850,2023-02-07,PROD001,Premium Face Serum,1,89.99,1151,89.99
INV42266,2023-02-13,PROD001,Premium Face Serum,2,89.99,1143,179.98
INV86415,2023-01-19,PROD001,Premium Face Serum,2,89.99,1230,179.98
INV35144,2023-11-29,PROD005,Lip Treatment Set,3,24.99,1011,74.97
INV48541,2023-09-04,PROD005,Lip Treatment Set,3,24.99,1109,74.97
INV52372,2023-09-12,PROD006,Anti-Ageing Eye Cream,4,69.99,1021,279.96
INV12009,2023-09-27,PROD006,Anti-Ageing Eye Cream,4,69.99,1055,279.96
INV20287,2023-07-19,PROD002,Moisturising Cream,1,34.99,1167,34.99
INV36326,2023-08-22,PROD010,Collagen Supplement,3,49.99,1062,149.97
INV20494,2023-10-08,PROD006,Anti-Ageing Eye Cream,2,69.99,1040,139.98
INV64165,2023-12-21,PROD009,Hyaluronic Toner,5,39.99,1021,199.95
INV30885,2023-12-02,PROD006,Anti-Ageing Eye Cream,3,69.99,1045,209.97
INV54396,2023-10-03,PROD008,Retinol Night Cream,4,54.99,1025,219.96
INV40116,2023-07-08,PROD003,Vitamin C Kit,1,59.99,1157,59.99
INV81176,2023-12-29,PROD005,Lip Treatment Set,5,24.99,1039,124.95
INV69638,2023-09-01,PROD007,SPF 50 Sunscreen,4,29.99,1006,119.96
INV74297,2023-01-14,PROD010,Collagen Supplement,2,49.99,1131,99.98
INV68991,2023-10-28,PROD003,Vitamin C Kit,5,59.99,1012,299.95
INV49566,2023-11-24,PROD003,Vitamin C Kit,3,59.99,1074,179.97
INV96096,2023-07-11,PROD002,Moisturising Cream,1,34.99,1091,34.99
INV60639,2023-11-10,PROD005,Lip Treatment Set,2,24.99,1045,49.98
INV89310,2023-10-20,PROD010,Collagen Supplement,2,49.99,1041,99.98
INV30280,2023-11-13,PROD009,Hyaluronic Toner,3,39.99,1030,119.97
INV68176,2023-10-04,PROD007,SPF 50 Sunscreen,3,29.99,1069,89.97
INV75525,2023-01-12,PROD004,Hair Growth Oil,1,44.99,1193,44.99
INV55504,2023-06-13,PROD009,Hyaluronic Toner,2,39.99,1178,79.98
INV84141,2023-12-18,PROD008,Retinol Night Cream,2,54.99,1090,109.98
INV43862,2023-11-02,PROD004,Hair Growth Oil,4,44.99,1016,179.96
INV16368,2023-08-05,PROD009,Hyaluronic Toner,3,39.99,1113,119.97
INV82264,2023-07-16,PROD008,Retinol Night Cream,3,54.99,1105,164.97
INV62879,2023-07-10,PROD001,Premium Face Serum,1,89.99,1121,89.99
INV75481,2023-09-07,PROD002,Moisturising Cream,1,34.99,1078,34.99
INV11383,2023-03-08,PROD003,Vitamin C Kit,2,59.99,1178,119.98
INV75373,2023-11-03,PROD009,Hyaluronic Toner,5,39.99,1045,199.95
INV41938,2023-06-15,PROD007,SPF 50 Sunscreen,1,29.99,1151,29.99
INV18870,2023-11-25,PROD002,Moisturising Cream,4,34.99,1038,139.96
INV89377,2023-10-24,PROD001,Premium Face Serum,2,89.99,1244,179.98
INV93084,2023-03-25,PROD010,Collagen Supplement,1,49.99,1219,49.99
INV79531,2023-09-19,PROD001,Premium Face Serum,2,89.99,1031,179.98
INV27049,2023-12-09,PROD008,Retinol Night Cream,1,54.99,1295,54.99
INV33834,2023-09-04,PROD008,Retinol Night Cream,4,54.99,1016,219.96
INV78690,2023-11-30,PROD008,Retinol Night Cream,5,54.99,1034,274.95
INV26143,2023-10-29,PROD009,Hyaluronic Toner,1,39.99,1113,39.99
INV85008,2023-06-11,PROD009,Hyaluronic Toner,1,39.99,1151,39.99
INV20215,2023-01-06,PROD002,Moisturising Cream,2,34.99,1205,69.98
INV98740,2023-11-12,PROD004,Hair Growth Oil,5,44.99,1058,224.95
INV27326,2023-02-07,PROD007,SPF 50 Sunscreen,1,29.99,1221,29.99
INV37215,2023-07-01,PROD009,Hyaluronic Toner,2,39.99,1086,79.98
INV94675,2023-11-29,PROD009,Hyaluronic Toner,2,39.99,1035,79.98
INV98635,2023-11-30,PROD006,Anti-Ageing Eye Cream,1,69.99,1072,69.99
INV36342,2023-11-05,PROD004,Hair Growth Oil,2,44.99,1042,89.98
INV13515,2023-12-02,PROD010,Collagen Supplement,2,49.99,1078,99.98
INV90634,2023-01-09,PROD010,Collagen Supplement,1,49.99,1160,49.99
INV97679,2023-07-30,PROD001,Premium Face Serum,1,89.99,1133,89.99
INV11607,2023-11-21,PROD008,Retinol Night Cream,2,54.99,1018,109.98
INV54270,2023-08-08,PROD006,Anti-Ageing Eye Cream,2,69.99,1074,139.98
INV99573,2023-03-10,PROD003,Vitamin C Kit,2,59.99,1127,119.98
INV50888,2023-10-10,PROD002,Moisturising Cream,2,34.99,1015,69.98
INV65164,2023-07-23,PROD001,Premium Face Serum,2,89.99,1114,179.98
INV17936,2023-11-27,PROD006,Anti-Ageing Eye Cream,4,69.99,1027,279.96
INV31544,2023-06-28,PROD003,Vitamin C Kit,1,59.99,1086,59.99
INV37760,2023-11-07,PROD010,Collagen Supplement,5,49.99,1004,249.95
INV67104,2023-12-18,PROD002,Moisturising Cream,3,34.99,1032,104.97
INV41359,2023-02-13,PROD001,Premium Face Serum,2,89.99,1160,179.98
INV18142,2023-11-23,PROD006,Anti-Ageing Eye Cream,3,69.99,1051,209.97
INV33639,2023-07-07,PROD006,Anti-Ageing Eye Cream,3,69.99,1110,209.97
INV69972,2023-09-02,PROD006,Anti-Ageing Eye Cream,1,69.99,1067,69.99
INV59968,2023-09-06,PROD006,Anti-Ageing Eye Cream,5,69.99,1022,349.95
INV93138,2023-08-23,PROD007,SPF 50 Sunscreen,3,29.99,1080,89.97
INV78982,2023-10-29,PROD003,Vitamin C Kit,1,59.99,1093,59.99
INV52312,2023-10-05,PROD002,Moisturising Cream,2,34.99,1269,69.98
INV45851,2023-06-15,PROD001,Premium Face Serum,2,89.99,1110,179.98
INV67199,2023-10-26,PROD006,Anti-Ageing Eye Cream,4,69.99,1010,279.96
INV67240,2023-10-29,PROD006,Anti-Ageing Eye Cream,2,69.99,1032,139.98
INV44249,2023-04-20,PROD010,Collagen Supplement,2,49.99,1156,99.98
INV51984,2023-01-12,PROD005,Lip Treatment Set,1,24.99,1134,24.99
INV76317,2023-10-25,PROD006,Anti-Ageing Eye Cream,2,69.99,1015,139.98
INV64287,2023-10-25,PROD008,Retinol Night Cream,5,54.99,1031,274.95
INV59899,2023-02-07,PROD007,SPF 50 Sunscreen,1,29.99,1233,29.99
INV18950,2023-10-11,PROD003,Vitamin C Kit,5,59.99,1033,299.95
INV80807,2023-12-19,PROD003,Vitamin C Kit,3,59.99,1028,179.97
INV44814,2023-09-27,PROD006,Anti-Ageing Eye Cream,3,69.99,1007,209.97
INV23579,2023-11-16,PROD005,Lip Treatment Set,4,24.99,1030,99.96
INV65514,2023-01-12,PROD002,Moisturising Cream,2,34.99,1225,69.98
INV70505,2023-07-17,PROD009,Hyaluronic Toner,1,39.99,1063,39.99
INV74763,2023-06-29,PROD010,Collagen Supplement,3,49.99,1115,149.97
INV65936,2023-12-03,PROD002,Moisturising Cream,4,34.99,1029,139.96
INV93318,2023-12-21,PROD008,Retinol Night Cream,2,54.99,1038,109.98
INV49576,2023-10-28,PROD005,Lip Treatment Set,4,24.99,1051,99.96
INV87278,2023-09-28,PROD008,Retinol Night Cream,4,54.99,1017,219.96
INV31319,2023-10-06,PROD008,Retinol Night Cream,4,54.99,1002,219.96
INV75803,2023-10-25,PROD006,Anti-Ageing Eye Cream,1,69.99,1083,69.99
INV38143,2023-09-18,PROD003,Vitamin C Kit,2,59.99,1089,119.98
INV51124,2023-11-24,PROD008,Retinol Night Cream,5,54.99,1048,274.95
INV67840,2023-06-05,PROD002,Moisturising Cream,1,34.99,1074,34.99
INV24125,2023-07-31,PROD004,Hair Growth Oil,2,44.99,1123,89.98
INV66369,2023-02-09,PROD009,Hyaluronic Toner,1,39.99,1240,39.99
INV30070,2023-08-04,PROD008,Retinol Night Cream,3,54.99,1114,164.97
INV34886,2023-01-09,PROD009,Hyaluronic Toner,2,39.99,1200,79.98
INV44282,2023-11-14,PROD010,Collagen Supplement,2,49.99,1051,99.98
INV70174,2023-09-12,PROD004,Hair Growth Oil,1,44.99,1120,44.99
INV60911,2023-12-13,PROD004,Hair Growth Oil,3,44.99,1091,134.97
INV60493,2023-09-12,PROD010,Collagen Supplement,4,49.99,1060,199.96
INV25191,2023-09-01,PROD006,Anti-Ageing Eye Cream,2,69.99,1116,139.98
INV23176,2023-12-07,PROD009,Hyaluronic Toner,4,39.99,1017,159.96
INV11699,2023-04-17,PROD006,Anti-Ageing Eye Cream,1,69.99,1129,69.99
INV91352,2023-01-11,PROD008,Retinol Night Cream,2,54.99,1167,109.98
INV32946,2023-11-13,PROD004,Hair Growth Oil,2,44.99,1049,89.98
INV11824,2023-10-17,PROD002,Moisturising Cream,5,34.99,1025,174.95
INV95389,2023-08-10,PROD005,Lip Treatment Set,3,24.99,1107,74.97
INV51827,2023-09-17,PROD006,Anti-Ageing Eye Cream,2,69.99,1044,139.98
INV23884,2023-10-04,PROD008,Retinol Night Cream,1,54.99,1295,54.99
INV12872,2023-07-28,PROD003,Vitamin C Kit,1,59.99,1113,59.99
INV18094,2023-12-27,PROD010,Collagen Supplement,2,49.99,1052,99.98
INV28350,2023-06-05,PROD002,Moisturising Cream,2,34.99,1144,69.98
INV72888,2023-11-28,PROD008,Retinol Night Cream,4,54.99,1048,219.96
INV27614,2023-10-04,PROD002,Moisturising Cream,1,34.99,1102,34.99
INV28141,2023-02-28,PROD006,Anti-Ageing Eye Cream,1,69.99,1214,69.99
INV65519,2023-09-13,PROD007,SPF 50 Sunscreen,4,29.99,1005,119.96
INV32280,2023-10-23,PROD010,Collagen Supplement,3,49.99,1024,149.97
INV44741,2023-10-31,PROD009,Hyaluronic Toner,3,39.99,1004,119.97
INV99399,2023-12-25,PROD006,Anti-Ageing Eye Cream,3,69.99,1009,209.97
INV34114,2023-12-17,PROD008,Retinol Night Cream,2,54.99,1246,109.98
INV83385,2023-10-02,PROD002,Moisturising Cream,4,34.99,1009,139.96
INV64568,2023-12-30,PROD007,SPF 50 Sunscreen,4,29.99,1055,119.96
INV55830,2023-09-29,PROD004,Hair Growth Oil,5,44.99,1010,224.95
INV55851,2023-09-11,PROD010,Collagen Supplement,3,49.99,1035,149.97
INV68893,2023-09-11,PROD003,Vitamin C Kit,4,59.99,1037,239.96
INV89682,2023-11-24,PROD007,SPF 50 Sunscreen,1,29.99,1250,29.99
INV53914,2023-09-02,PROD005,Lip Treatment Set,2,24.99,1050,49.98
INV96363,2023-09-29,PROD010,Collagen Supplement,2,49.99,1028,99.98
INV21552,2023-05-01,PROD010,Collagen Supplement,2,49.99,1158,99.98
INV22771,2023-04-04,PROD008,Retinol Night Cream,1,54.99,1122,54.99
INV11493,2023-12-28,PROD006,Anti-Ageing Eye Cream,2,69.99,1095,139.98
INV77000,2023-10-27,PROD008,Retinol Night Cream,3,54.99,1011,164.97
INV53544,2023-08-17,PROD001,Premium Face Serum,2,89.99,1061,179.98
INV22795,2023-10-02,PROD006,Anti-Ageing Eye Cream,2,69.99,1065,139.98
INV99744,2023-11-15,PROD008,Retinol Night Cream,2,54.99,1069,109.98
INV54424,2023-10-28,PROD004,Hair Growth Oil,5,44.99,1029,224.95
INV84905,2023-10-07,PROD010,Collagen Supplement,3,49.99,1100,149.97
INV61068,2023-09-20,PROD007,SPF 50 Sunscreen,3,29.99,1059,89.97
INV77277,2023-03-17,PROD006,Anti-Ageing Eye Cream,1,69.99,1163,69.99
INV89635,2023-12-31,PROD001,Premium Face Serum,3,89.99,1041,269.97
INV36941,2023-06-14,PROD002,Moisturising Cream,2,34.99,1097,69.98
INV15958,2023-09-06,PROD001,Premium Face Serum,2,89.99,1043,179.98
INV55406,2023-06-07,PROD004,Hair Growth Oil,3,44.99,1085,134.97
INV29369,2023-11-20,PROD010,Collagen Supplement,5,49.99,1047,249.95
INV60157,2023-01-30,PROD005,Lip Treatment Set,1,24.99,1164,24.99
INV63665,2023-12-01,PROD008,Retinol Night Cream,5,54.99,1043,274.95
INV28198,2023-07-14,PROD007,SPF 50 Sunscreen,1,29.99,1061,29.99
INV31581,2023-11-06,PROD003,Vitamin C Kit,4,59.99,1043,239.96
INV88317,2023-09-07,PROD005,Lip Treatment Set,5,24.99,1045,124.95
INV91937,2023-01-12,PROD010,Collagen Supplement,2,49.99,1193,99.98
INV46458,2023-10-31,PROD009,Hyaluronic Toner,5,39.99,1020,199.95
INV72676,2023-09-29,PROD004,Hair Growth Oil,3,44.99,1051,134.97
INV13455,2023-01-17,PROD008,Retinol Night Cream,1,54.99,1176,54.99
INV94331,2023-11-04,PROD001,Premium Face Serum,1,89.99,1119,89.99
INV55870,2023-12-05,PROD009,Hyaluronic Toner,2,39.99,1014,79.98
INV16265,2023-09-25,PROD005,Lip Treatment Set,4,24.99,1039,99.96
INV22051,2023-05-20,PROD009,Hyaluronic Toner,2,39.99,1132,79.98
INV53065,2023-11-28,PROD007,SPF 50 Sunscreen,2,29.99,1023,59.98
INV45313,2023-08-16,PROD008,Retinol Night Cream,2,54.99,1102,109.98
INV96761,2023-09-11,PROD005,Lip Treatment Set,5,24.99,1031,124.95
INV20357,2023-08-11,PROD002,Moisturising Cream,2,34.99,1080,69.98
INV14170,2023-03-04,PROD004,Hair Growth Oil,1,44.99,1202,44.99
INV38389,2023-07-30,PROD005,Lip Treatment Set,1,24.99,1152,24.99
INV49608,2023-09-29,PROD002,Moisturising Cream,5,34.99,1026,174.95
INV72031,2023-11-24,PROD010,Collagen Supplement,4,49.99,1017,199.96
INV60797,2023-06-27,PROD001,Premium Face Serum,2,89.99,1129,179.98
INV22224,2023-09-13,PROD001,Premium Face Serum,2,89.99,1006,179.98
INV32047,2023-07-28,PROD009,Hyaluronic Toner,2,39.99,1070,79.98
INV57294,2023-10-04,PROD003,Vitamin C Kit,1,59.99,1097,59.99
INV14005,2023-11-10,PROD002,Moisturising Cream,3,34.99,1104,104.97
INV90649,2023-12-20,PROD002,Moisturising Cream,1,34.99,1275,34.99
INV47629,2023-12-29,PROD008,Retinol Night Cream,2,54.99,1053,109.98
INV80769,2023-03-09,PROD001,Premium Face Serum,2,89.99,1219,179.98
INV42053,2023-06-01,PROD001,Premium Face Serum,1,89.99,1082,89.99
INV69469,2023-11-16,PROD009,Hyaluronic Toner,4,39.99,1029,159.96
INV45669,2023-03-23,PROD008,Retinol Night Cream,2,54.99,1182,109.98
INV40340,2023-10-31,PROD005,Lip Treatment Set,2,24.99,1019,49.98
INV69974,2023-08-27,PROD007,SPF 50 Sunscreen,3,29.99,1110,89.97
INV96275,2023-10-08,PROD005,Lip Treatment Set,2,24.99,1024,49.98
INV85718,2023-10-02,PROD003,Vitamin C Kit,4,59.99,1045,239.96
INV33425,2023-07-20,PROD009,Hyaluronic Toner,2,39.99,1157,79.98
INV55398,2023-09-06,PROD005,Lip Treatment Set,2,24.99,1048,49.98
INV35430,2023-10-01,PROD005,Lip Treatment Set,5,24.99,1036,124.95
INV87158,2023-06-27,PROD007,SPF 50 Sunscreen,3,29.99,1112,89.97
INV99337,2023-07-13,PROD006,Anti-Ageing Eye Cream,2,69.99,1164,139.98
INV20057,2023-09-08,PROD006,Anti-Ageing Eye Cream,4,69.99,1034,279.96
INV69596,2023-11-28,PROD010,Collagen Supplement,1,49.99,1256,49.99
INV60829,2023-09-02,PROD005,Lip Treatment Set,5,24.99,1060,124.95
INV44226,2023-08-15,PROD001,Premium Face Serum,2,89.99,1096,179.98
INV62513,2023-06-05,PROD001,Premium Face Serum,2,89.99,1159,179.98
INV94130,2023-11-17,PROD005,Lip Treatment Set,1,24.99,1098,24.99
INV34979,2023-06-04,PROD006,Anti-Ageing Eye Cream,3,69.99,1111,209.97
INV36624,2023-09-13,PROD008,Retinol Night Cream,4,54.99,1056,219.96
INV91016,2023-11-23,PROD004,Hair Growth Oil,5,44.99,1044,224.95
INV13373,2023-10-01,PROD004,Hair Growth Oil,1,44.99,1098,44.99
INV69566,2023-04-04,PROD001,Premium Face Serum,1,89.99,1121,89.99
INV73110,2023-11-30,PROD001,Premium Face Serum,1,89.99,1279,89.99
INV64120,2023-06-16,PROD009,Hyaluronic Toner,2,39.99,1180,79.98
